predicao_id,ciclo,hipotese,estatuto_probatorio,predicao,o_que_refutaria,teste_van_evera_previsto,indicador_operacional,fonte_prevista,data_registro,status
PR-C1-H11,c1,H1.1,fora_de_amostra,"Sob autoritarismo em liberalização, a mobilização multissetorial de 1983-84 deve ser precedida por ampliação MENSURÁVEL de acesso institucional: reforma partidária de 1979 e eleições diretas para governos estaduais em 1982. A escala deve crescer DEPOIS dessas aberturas, não antes.","Se a curva de mobilização atingir seu máximo sem que nenhum indicador de acesso institucional tenha se ampliado no biênio anterior, H1.1 confunde condição causal com correlato de época.",aro,Reorganização partidária (Lei 6.767/1979); resultados das eleições estaduais de 1982; composição do Congresso,TSE; Diários do Congresso; DOU,2026-08-22,registrada
PR-C1-H12,c1,H1.2,fora_de_amostra,Teste fora de amostra decisivo. A vulnerabilidade da elite governante deve ser observável na deserção do PDS (dissidência que origina a Frente Liberal) e preceder o desfecho institucional de jan/1985. ATENÇÃO: o indicador 'aprovação presidencial' não transporta para presidente não eleito diretamente; o teste recai sobre deserção parlamentar.,"Se o Colégio Eleitoral eleger Tancredo SEM deserção prévia mensurável da base governista — isto é, se a vitória vier apenas de recomposição pós-derrota da emenda —, a vulnerabilidade não antecede o resultado e H1.2 perde poder explicativo no caso fundador.",arma_fumegante,Número de parlamentares do PDS que migram ou votam com a oposição; votação nominal do Colégio Eleitoral (480x180),Diários do Congresso; TSE,2026-08-22,registrada
PR-C1-H13,c1,H1.3,fora_de_amostra,"Teste fora de amostra sob regime autoritário. H1.3 prevê que repressão visível expanda o ciclo. Sob censura residual, a visibilidade é o elo frágil: prevê-se repressão baixa nos grandes comícios (o regime evitou confronto aberto na fase de pico) e, portanto, expansão explicada por outro mecanismo.","Se houver episódio repressivo relevante COM cobertura e a mobilização subsequente NÃO crescer, o mecanismo postulado falha no caso em que a repressão era mais provável — refutação forte.",aro,Ocorrência de repressão nos comícios de 1984; decretos de emergência; cobertura subsequente,DOU (medidas de emergência); Diários do Congresso; acervos de imprensa,2026-08-22,registrada
PR-C1-H14,c1,H1.4,fora_de_amostra,"Teste fora de amostra de alto valor: em 1983-84 os aliados intrainstitucionais são partidos de oposição (PMDB), OAB, CNBB e sindicatos — uma coalizão que atravessa Estado e sociedade sob autoritarismo. H1.4 prevê que a heterogeneidade da coalizão acompanhe a entrada desses aliados.","Se a heterogeneidade máxima da coalizão for anterior à adesão dos aliados institucionais, os aliados são consequência da mobilização e não sua causa — invertendo a direção postulada.",arma_fumegante,"Manifestações públicas de apoio de OAB, CNBB, partidos; requerimentos e discursos parlamentares",Diários do Congresso; acervos institucionais de OAB e CNBB,2026-08-22,registrada
PR-C1-H21,c1,H2.1,fora_de_amostra,"Teste fora de amostra: H2.1 prevê que o campo com hegemonia discursiva direcione o ciclo. Em 1984 a grande mídia foi inicialmente reticente (o comício da Sé enquadrado como aniversário de São Paulo) e aderiu tarde. A previsão é que o ciclo NÃO tenha sido direcionado pelo campo hegemônico, e sim contra ele.","Se o desfecho institucional de 1985 puder ser atribuído à agenda do campo que controlava a mídia, e não à coalizão oposicionista, H2.1 se sustenta onde se esperava sua falha — e a hipótese perde a capacidade de discriminar casos.",duplamente_decisivo,Enquadramento dominante na cobertura dos comícios; momento da adesão midiática,"Acervos de imprensa (nível 3, uso declarado como dado de DOS)",2026-08-22,registrada
PR-C1-H22,c1,H2.2,fora_de_amostra,"Fora de amostra: as Diretas Já têm master frame ÚNICO e inequívoco (eleições diretas). H2.2 prevê, por contraposição, resultado institucional definido — e é exatamente o que não ocorre no canal demandado, já que a emenda é derrotada.","O caso é o teste mais duro de H2.2: DOS convergente com derrota da demanda. Se H2.2 vale, o resultado por canal alternativo (Colégio Eleitoral) deve contar como 'definido'; se não contar, a hipótese precisa da variável traducao_institucional para sobreviver.",duplamente_decisivo,Número de demandas distintas; existência de master frame; canal do desfecho,cycle_phases.csv; marcos_institucionais.csv,2026-08-22,registrada
PR-C1-H23,c1,H2.3,fora_de_amostra,Teste fora de amostra: H2.3 prevê que frame alinhado a valores normativos dominantes amplie o recrutamento. Em 1984 o frame 'democracia/eleições diretas' deve ter recrutado além das bases orgânicas da oposição — atingindo públicos não mobilizados previamente.,"Se a composição social dos comícios se restringir às bases já organizadas (sindicatos, estudantes, militância partidária), sem adesão de públicos não-orgânicos, o frame não produziu recrutamento ampliado e H2.3 falha no ciclo de maior escala da série.",aro,Composição sociológica dos comícios; adesão de públicos não-orgânicos,data/diretas_ja/; sementes; literatura,2026-08-22,registrada
PR-C1-H24,c1,H2.4,fora_de_amostra,"Fora de amostra: H2.4 prevê investimento discursivo prévio à abertura da EOP. Em 1983-84 o equivalente funcional dos think tanks são a imprensa alternativa, a Igreja e as entidades de classe. Prevê-se produção discursiva acumulada ANTES de nov/1982.","Ausência de produção discursiva organizada anterior à fase de articulação, com o master frame surgindo apenas durante a mobilização, refutaria a necessidade do investimento prévio.",aro,Existência e atividade de redes de produção narrativa antes de 1983,"Acervos da CNBB, OAB, imprensa alternativa",2026-08-22,registrada
PR-C1-H25,c1,H2.5,fora_de_amostra,Fora de amostra: H2.5 prevê que a transformação nas feeling rules legitime emoções políticas novas. Em 1983-84 a candidata é a passagem do medo à esperança pública — a manifestação massiva como ato emocionalmente permitido após duas décadas de repressão.,"Se os enquadramentos emocionais da esfera pública permanecerem estáveis ao longo do ciclo, sem deslocamento identificável, a ampliação do repertório discursivo terá outra origem.",palha_ao_vento,Mudança nos enquadramentos emocionais da cobertura; novas categorias de demanda,"Acervos de imprensa (dado de DOS, nível 3 declarado)",2026-08-22,registrada
PR-C1-H31,c1,H3.1,fora_de_amostra,Único teste fora de amostra de H3.1. A configuração de 1983-84 é EOP restrita (regime autoritário) com DOS convergente (master frame democrático de alta ressonância). H3.1 prevê que essa assimetria produza mobilização de grande escala com resultado institucional NÃO maximizado — que é o observado: recorde de público e derrota da emenda.,"Se este caso apresentar escala máxima E resultado institucional pleno no canal demandado, a convergência EOP+DOS deixa de ser necessária para a maximização e H3.1 perde poder.",duplamente_decisivo,Combinação dos indicadores de EOP e DOS por fase em cycle_phases.csv,cycle_phases.csv; marcos_institucionais.csv,2026-08-22,registrada
