data,tipo,variavel,phase_id,valor_anterior,valor_novo,justificativa,evidencia_id,fonte_url,codificador
2026-08-22,redefinicao_variavel,traducao_institucional,TODAS,escala com critério de canal embutido (2 = substantiva mas por canal distinto; 3 = plena pelo canal demandado),"escala de magnitude pura (2 = substantiva; 3 = plena), sem referência a canal","Os níveis 2 e 3 não diferiam em magnitude, e sim em tipo: o critério de canal estava embutido no ordinal, impondo a premissa empírica de que resultado por canal deslocado é sempre menor que resultado pelo canal demandado. Nas Diretas Já isso é discutível — a transição via Colégio Eleitoral foi historicamente maior do que uma vitória da emenda teria sido no curto prazo. Direção passa a ser variável própria.",,,Claude/sessão 2026-08-22
2026-08-22,nova_variavel,traducao_direcao,TODAS,,NA | canal_demandado | canal_alternativo | objeto_substituido | principal_sem_acessorio | acessorio_sem_principal | antecipacao_pelo_alvo,"Tipologia da relação demanda->desfecho, derivada dos quatro casos documentados em process-tracing/dados/marcos_institucionais.csv. A categoria antecipacao_pelo_alvo veio da evidência: a Resolução 101/1992 mostra que a renúncia de Collor prejudicou o pedido de perda do cargo, de modo que o desfecho não veio nem do canal demandado nem de canal alternativo acionado pelo ciclo.",EV-C2-T1-003,https://www2.camara.leg.br/legin/fed/ressen/1992/resolucao-101-30-dezembro-1992-480215-publicacaooriginal-1-pl.html,Claude/sessão 2026-08-22
2026-08-22,nova_variavel,traducao_valencia,TODAS,,NA | favoravel | parcial | adversa,"A tipologia de direção não informa o sinal do resultado para a coalizão mobilizada: em C1 o canal alternativo produziu a transição (favorável), enquanto em C3 o objeto substituído deslocou a pauta original (parcial).",,,Claude/sessão 2026-08-22
2026-08-22,nova_variavel,traducao_controle_gatilho,TODAS,,NA | elite_institucional | ator_estrategico | coalizao_do_ciclo | executivo_alvo | alvo_da_demanda | difuso_sem_alvo_unico,Formaliza a questão aberta nº 1 de findings.md ('controle do gatilho institucional': Congresso 1984; CPI/Câmara 1992; nenhum alvo único 2013; presidência da Câmara 2015-16) e alimenta H3.2.,,,Claude/sessão 2026-08-22
2026-08-22,reexame_sem_mudanca,traducao_institucional,DJ-4;DJ-5;FC-2;FC-3;FC-4;FC-5;J13-3;J13-3b;J13-4;J13-5;ID-3;ID-4;ID-5,,,"As 13 células com valor diferente de zero foram reexaminadas sob a definição de magnitude pura, por terem sido atribuídas sob a regra anterior. Nenhuma magnitude mudou: o que a regra antiga codificava como diferença de canal passou integralmente para traducao_direcao. DJ-5 permanece 2 — a demanda por eleições diretas não foi convertida; o objetivo foi alcançado por outra via, o que agora se registra em traducao_direcao=canal_alternativo.",,,Claude/sessão 2026-08-22
2026-08-22,verificacao,op_*;od_*,TODAS,,,"CORREÇÃO DE ACHADO ANTERIOR. A auditoria de 2026-08-22 relatou 'seis escores alterados entre v2 e v3 nas fases ID-1 e ID-2 sem justificativa registrada'. O achado estava ERRADO: resultou de comparar os dois datasets pela chave phase_id, que NÃO é estável entre versões — a periodização v3 renumerou as fases do ciclo do impeachment (v2 ID-1 = emergencia 2014-10-26 a 2015-02-28; v3 ID-1 = emergencia 2015-03-15 a 2015-08-16). Refeita a comparação por (ciclo, fase) restrita às fases de período idêntico, há 16 fases comparáveis e ZERO escores alterados. As quatro fases restantes tiveram fronteiras redesenhadas pela v3, o que torna a diferença de escore esperada e não uma recodificação silenciosa. Não há lacuna de auditoria v2->v3.",,,Claude/sessão 2026-08-22
2026-08-23,redefinicao_variavel,H1.2 (docs/quadro-hipoteses.md),TODAS,VD = probabilidade de mudança institucional; VI = grau de vulnerabilidade das elites,VD = traducao_institucional (0-3) no desfecho; VI = conjunção entre vulnerabilidade acumulada e abertura do canal; cláusula da DOS prevê reversão de magnitude,"A formulação anterior era confirmada 4/4 por construção: todos os ciclos produziram resultado institucional, e qualquer ato contava. A revisão troca a VD por grandeza com variação observada (2,3,1,3) e dá à cláusula da DOS refutador próprio. A relação de teto magnitude <= min(abertura, divisão acumulada) foi verificada em 24 fases: zero violações, seis células vinculantes. ATENÇÃO: relação encontrada por inspeção do corpus já codificado — ajuste intra-amostra, não teste. Teste fora de amostra pendente (Coreia, Paraguai, Belarus).",EV-C1-T0-001,,Claude/sessão 2026-08-23
2026-08-23,mudanca_de_valor,traducao_direcao (marcos_institucionais.csv),MI-C4-03;MI-C1-01,acessorio_sem_principal; objeto_substituido,NA; NA,"MI-C4-03 registrava acessorio_sem_principal para um ato em que o acessório foi NEGADO — o inverso da definição do codebook; a sessão como um todo já está em ID-5 como principal_sem_acessorio. MI-C1-01 registrava objeto_substituido para a derrota da emenda, mas DJ-3, a fase que contém 25/04/1984, tem magnitude 0 e direção NA pela regra do codebook: derrota de demanda não é substituição de objeto.",,,Claude/sessão 2026-08-23
2026-08-23,correcao_factual,quórum da inabilitação (2016),ID-5,maioria absoluta (54),dois terços (54 de 81),"Erro de terminologia introduzido em 2026-08-22. O Senado tem 81 membros: maioria absoluta é 41, e 54 é dois terços (art. 52, parágrafo único, CF). Sob maioria absoluta os 42 votos teriam APROVADO a inabilitação. O número 54 e o desfecho estavam corretos; o registro era aritmeticamente autocontraditório.",EV-C4-T1-003,,Claude/sessão 2026-08-23
2026-08-23,correcao_bibliografica,Chenoweth e Ulfelder,TODAS,2015,2017,"O Quadro 3 da tese cita '(2015, p. 23)', que é a data de publicação online first. O fascículo é Journal of Conflict Resolution 61(2), fev. 2017, p. 298-324. A obra é citada no texto da tese mas NÃO consta da lista de referências dela. Doze obras citadas em process-tracing/ e nos codebooks não tinham entrada em referencias.bib e foram incorporadas nesta data.",,https://doi.org/10.1177/0022002715576574,Claude/sessão 2026-08-23
