evidencia_id,ciclo,tempo,data_evento,fase_vinculada,dimensao_conjuntura,mecanismo,descricao,hipotese_vinculada,relacao_com_hipotese,teste_van_evera,fonte_nivel,fonte_citacao,fonte_url,data_consulta,status_verificacao,divergencia_entre_fontes,notas
EV-C1-T1-001,c1,T+1,1985-01-15,DJ-5,acontecimentos,,"Colégio Eleitoral elege Tancredo Neves (Aliança Democrática) por 480 votos contra 180 de Paulo Maluf (PDS), com 26 abstenções. Colegiado de 686 membros composto por senadores e deputados estaduais e federais.",H1.2,confirma,arma_fumegante,2,Tribunal Superior Eleitoral — 'Eleição de 1985: fidelidade partidária no Colégio Eleitoral'; Portal da Câmara dos Deputados — 'Há 30 anos eleição indireta encerrava regime militar',https://www.tse.jus.br/jurisprudencia/julgados-historicos/eleicao-de-1985-fidelidade-partidaria-no-colegio-eleitoral,2026-08-22,verificado_fonte_oficial,,Desfecho por canal institucional DISTINTO do demandado: a emenda por eleição direta foi derrotada e o resultado veio pelo Colégio Eleitoral. É a evidência empírica da variável traducao_institucional. Elevar a nível 1 recuperando a ata da sessão no Diário do Congresso Nacional de 16/01/1985.
EV-C1-T1-002,c1,T+1,1988-10-05,,acontecimentos,,"Promulgação da Constituição Federal de 1988 em sessão da Assembleia Nacional Constituinte no Plenário da Câmara, presidida por Ulysses Guimarães. O processo constituinte recebeu 61.200 emendas parlamentares e 122 emendas populares, algumas com mais de um milhão de assinaturas.",H3.5,confirma,aro,1,"BRASIL. Assembleia Nacional Constituinte. Diário da Assembleia Nacional Constituinte, Brasília, 5 out. 1988, p. 14380 (discurso de promulgação)",https://www2.camara.leg.br/atividade-legislativa/plenario/discursos/escrevendohistoria/destaque-de-materias/centenario-deputado-ulysses-guimaraes/discurso-de-05101988,2026-08-22,verificado_fonte_oficial,,Elo 2 da cadeia C1->C2. As 122 emendas populares são evidência direta do legado participativo do ciclo das Diretas Já sobre o desenho institucional seguinte — sustenta o teste de aro de H3.5 (PR-C1-H35).
EV-C1-T1-003,c1,T+1,1989-11-15,,acontecimentos,,"Primeira eleição presidencial direta desde 1960. 1º turno em 15/11/1989; 2º turno em 17/12/1989 elege Fernando Collor de Mello com 53,03% dos votos válidos contra 46,97% de Luiz Inácio Lula da Silva (aprox. 35 milhões contra 31 milhões de votos).",H3.5,confirma,aro,2,Tribunal Superior Eleitoral — Julgados históricos: Collor,https://www.tse.jus.br/jurisprudencia/julgados-historicos/collor,2026-08-22,corroborado_imprensa,"Uma das fontes retornadas na busca apresenta 42,75% x 37,86%, percentuais que não correspondem a votos válidos do 2º turno (provavelmente calculados sobre o eleitorado total, incluindo brancos, nulos e abstenções). Resolver pela totalização oficial.",Elo 3 e fecho da cadeia C1->C2. Recuperar a totalização oficial no repositório de dados eleitorais do TSE para elevar a nível 1 e fixar os percentuais.
EV-C2-T1-001,c2,T+1,1992-09-29,,acontecimentos,,"Câmara dos Deputados autoriza a abertura do processo de impeachment de Fernando Collor por 441 votos a favor, 38 contra, 1 abstenção e 23 ausências.",H1.2,confirma,arma_fumegante,2,Portal da Câmara dos Deputados — 'Escrevendo a História: 20 anos do impeachment do Collor',https://www2.camara.leg.br/atividade-legislativa/plenario/discursos/escrevendohistoria/destaque-de-materias/20-anos-do-impeachment,2026-08-22,verificado_fonte_oficial,Circula amplamente na web o placar '441 a 33'. A fonte institucional registra 38 contrários.,"Fonte de NÍVEL 1 disponível e indicada pela própria Câmara: Diário da Câmara dos Deputados de 30/09/1992, p. 22067 — https://imagem.camara.gov.br/dc_20.asp?selCodColecaoCsv=D&txPagina=22067&Datain=30/09/1992 . Elevar para nível 1 na primeira execução com rede."
EV-C2-T1-002,c2,T+1,1992-12-29,FC-5,acontecimentos,,Início do julgamento no Senado Federal; Collor renuncia por carta lida pelo advogado José Moura Rocha. O processo prossegue e o Senado decide que a renúncia tardia não impede a cassação.,H1.2,confirma,arma_fumegante,2,Portal da Câmara dos Deputados — 'Escrevendo a História: 20 anos do impeachment do Collor',https://www2.camara.leg.br/atividade-legislativa/plenario/discursos/escrevendohistoria/destaque-de-materias/20-anos-do-impeachment,2026-08-22,verificado_fonte_oficial,,"Fonte nível 1 indicada pela Câmara: Diário do Congresso de 30/12/1992, p. 4811. Recuperar também a Resolução nº 101/1992 do Senado, que dispõe sobre as sanções — é o ato oficial que consuma o desfecho."
EV-C3-T1-001,c3,T+1,2013-06-25,J13-3b,acontecimentos,coalescencia,"Plenário da Câmara rejeita a PEC 37/2011 — que atribuiria exclusivamente às polícias federal e civil a competência para investigação criminal — por 430 votos contrários, 9 favoráveis e 2 abstenções. Todos os partidos orientaram pela rejeição. O texto foi arquivado.",H2.2,indeterminada,palha_ao_vento,2,"BRASIL. Câmara dos Deputados. Câmara rejeita PEC 37; texto será arquivado. Agência Câmara, Brasília, 25 jun. 2013",https://www.camara.leg.br/noticias/407780-camara-rejeita-pec-37-texto-sera-arquivado/,2026-08-22,verificado_fonte_oficial,,"Placar refinado em 2026-08-22: 2 abstenções, antes não registradas. 'Todos os partidos orientaram pela rejeição' reforça a leitura de teste fraco: unanimidade parlamentar é compatível tanto com H2.2 quanto com responsividade institucional. Recuperar a votação nominal na API para elevar a nível 1."
EV-C4-T1-001,c4,T+1,2016-08-31,ID-5,acontecimentos,,"Senado Federal conclui o julgamento e condena Dilma Rousseff por crime de responsabilidade, cassando o mandato por 61 votos a 20 (quórum de 2/3 = 54). Em votação SEPARADA, autorizada pelo presidente do STF, a inabilitação para função pública obteve 42 votos a favor, 36 contra e 3 abstenções — abaixo da maioria absoluta exigida (54) —, e os direitos políticos foram preservados.",H1.2,confirma,arma_fumegante,2,Senado Notícias — 'Impeachment de Dilma Rousseff marca ano de 2016 no Congresso e no Brasil',https://www12.senado.leg.br/noticias/materias/2016/12/28/impeachment-de-dilma-rousseff-marca-ano-de-2016-no-congresso-e-no-brasil,2026-08-22,verificado_fonte_oficial,RESOLVIDA em 2026-08-22: a aparente divergência 61x20 / 61x21 decorria de haver DUAS votações na mesma sessão. O placar da condenação é 61x20; a página de áudio do Senado que registra '21 contrários' é inconsistente com as demais páginas oficiais.,Recuperado por busca server-side em páginas do Senado e da Câmara (não por leitura do documento primário) — por isso permanece em nível 2. Elevar a nível 1 pela ata da sessão no Diário do Senado Federal. A votação separada foi autorizada por decisão do presidente do STF: ver camara.leg.br/noticias/497226.
EV-C4-T1-002,c4,T-1c,2007-01-01,,relacoes_de_forcas,nao_ocorrencia,"Movimento Cansei (Movimento Cívico pelo Direito dos Brasileiros): pauta antipetista e de moralização, lideranças e celebridades visíveis, mas sem articulação duradoura — 'não teve grandes articulações, tampouco conseguiu despontar como um catalisador de grupos'. Base elitista, não levado a sério por partidos de oposição nem pela imprensa.",H2.4,desconfirma,aro,4,"COSTA, G. P. Tese (UFJF, 2024), Considerações Finais, citando TATAGIBA, TRINDADE e TEIXEIRA (2015)",,2026-08-22,pendente,,"O cão que não latiu. Contrafactual de H2.4 (DOS construída deliberadamente antes da abertura da EOP): aqui houve tentativa de construção e ela NÃO pegou. Se H2.4 vale, precisa explicar por que 2007 falha e 2013-2014 funciona — a diferença candidata é a rede de think tanks, ausente em 2007. Data provisória: precisa da data exata de lançamento do movimento em fonte nível 1-2."
EV-C2-T1-003,c2,T+1,1992-12-30,,acontecimentos,,"Resolução nº 101/1992 do Senado Federal: julga procedente a denúncia por crimes de responsabilidade (art. 85, IV e V, da CF e Lei 1.079/1950) e impõe a Fernando Collor a sanção de inabilitação por oito anos para função pública. O pedido de PERDA DO CARGO foi julgado PREJUDICADO em razão da renúncia formalizada perante o Congresso, ficando o processo extinto nessa parte. Condenação por 76 votos a favor.",H1.2,confirma,arma_fumegante,1,"BRASIL. Senado Federal. Resolução nº 101, de 30 de dezembro de 1992",https://www2.camara.leg.br/legin/fed/ressen/1992/resolucao-101-30-dezembro-1992-480215-publicacaooriginal-1-pl.html,2026-08-22,verificado_fonte_oficial,Placar dos contrários divergente entre fontes (2 ou 3). Resolver pelo texto publicado da Resolução e pela ata no Diário do Congresso.,"ACHADO ANALÍTICO: o canal demandado pelo ciclo (impeachment com perda do cargo) foi EXTINTO por prejudicialidade; o desfecho efetivo veio da renúncia somada à sanção acessória. É caso de traducao_institucional em C2, que o registro classificava como 'nao'. Ver o espelho em C4 (EV-C4-T1-003)."
EV-C4-T1-003,c4,T+1,2016-08-31,ID-5,acontecimentos,,"Votação separada da inabilitação para o exercício de função pública: 42 votos a favor, 36 contra, 3 abstenções. Exigia maioria absoluta (54). Não atingido o quórum, Dilma Rousseff preservou os direitos políticos. A separação das votações foi autorizada por decisão do presidente do STF, que presidia a sessão.",H1.2,indeterminada,palha_ao_vento,2,"BRASIL. Senado Federal. Dilma Rousseff perde o mandato de presidente da República, mas mantém direitos políticos. Senado Notícias, Brasília, 31 ago. 2016",https://www12.senado.leg.br/noticias/materias/2016/08/31/dilma-rousseff-perde-o-mandato-de-presidente-da-republica-mas-mantem-direitos-politicos,2026-08-22,verificado_fonte_oficial,,ESPELHO DE C2: em 1992 a perda do cargo foi prejudicada mas a inabilitação foi aplicada; em 2016 a perda do cargo foi aplicada mas a inabilitação falhou por quórum. Os dois ciclos de impeachment produzem desfechos institucionais INVERSOS quanto à sanção acessória — variação que o escore ordinal de traducao_institucional não captura.
